lessonDate,sectionBeginTime,sectionEndTime,courseName,courseCode,courseShortName,courseNameEn,facultyName,lessonClassShortName,classRoomName,courseType,totalCredit,totalHour,maxNum,language,iClassMode
2025-6-5,18:30:00,22:00:00,行为金融学,ECON8618,BF,Behavioral Finance,阎志鹏,BF(1),304,春选课,2,24,70,英文,1
2025-6-5,18:30:00,22:00:00,区块链与数字金融,ECON8692,BDF,Blockchain and Digital Finance,胡捷,BDF(1),904,春选课,2,24,70,中文,1
2025-6-24,18:30:00,22:00:00,国际金融,ECON8674,IF,International Finance,阎志鹏,IF(1),304,春选课,2,24,70,英文,1
2025-6-25,18:30:00,22:00:00,宏观调控转型,ECON8755,MPT,Macro Policy Transformation,董兵兵,MPT,403,春选课,1,12,70,中文,1
2025-6-25,18:30:00,22:00:00,证券化与房地产金融,ECON8634,SREF,Securitization and Real Estate Finance,刘鹏,SREF(1)iclass,online,春选课,2,24,70,中文,1
2025-6-25,18:30:00,22:00:00,证券化与房地产金融,ECON8634,SREF,Securitization and Real Estate Finance,刘鹏,SREF(1),203,春选课,2,24,70,中文,1
2025-6-25,18:30:00,22:00:00,量化投资实践,ECON8700,QIP,Quantitative Investment in Practice,阚睿,QIP(1),305,春选课,2,24,70,中文,1
2025-7-29,18:30:00,22:00:00,数据要素、数据产品与数据资产,ECON8752,DDD,"Data Factors, Data Products, and Data Assets",张舸,DDD,203,春选课,1,12,70,中文,1
2025-7-30,18:30:00,22:00:00,创业金融实践,ECON8736,EFP,Entrepreneurial Finance in Practice,谢晖,EFP(1),203,春选课,1,12,70,中文,1
2025-7-31,18:30:00,22:00:00,数据要素、数据产品与数据资产,ECON8752,DDD,"Data Factors, Data Products, and Data Assets",张舸,DDD,203,春选课,1,12,70,中文,1
